反馈时间,启用月,单号,用途,台机编号,机型号,产品型号,出厂日,出厂日乱,启用日,里程,汽车类别,维修时间,录入日期,部件结构码,故障部件,父结构码,父件说明,故障代码,故障件号,物料号,故障件,BOM物料号,厂家号,厂家名称,处理方式,故障类别代,故障现象代,现象,故障原因代,故障模式代,模式,初步分析,故障原因,故障摘要,责任单位,数量,责任值,excel_row,reason,f_days,s_days,fail_time,mileage_val
12,8.0,S0230012008,车机,430D0100243,430D,YC6108ZQ,804.0,,804.0,40228,货,1224,,,,2200,,31522001A600,2200,,喷油泵,,011001,,更换总成,,,烟大,,,烟度不合,烟大调泵无效,,,供应,1,0.0,2,Keep,384,244.0,140.0,40228
12,11.0,S1330012101,车机,430G0100245,430G,YC6108ZQ,1120.0,,1120.0,527,货,1201,,,,2200,,373220018200,2200,,喷油泵,,043006,,修复,,,起动困难,,,油量不均,喷油泵油量不均,,,一发,1,0.0,3,Keep,361,350.0,11.0,527
12,6.0,S1990012002,车机,430D0100249,430D,YC6108ZQ,626.0,,626.0,20000,货,1202,,,,2200,,30922001A400,2200,,喷油泵,,011001,,更换总成,,,游车,,,拉不起马,喷油泵拉不起马力,,,供应,1,0.0,4,Keep,362,206.0,156.0,20000
12,9.0,S3320012004,车机,430D0100202,430D,YC6108ZQ,914.0,,914.0,13350,货,1215,,,,2200,,31222001A400,2200,,喷油泵,,011001,,更换总成,,,机无力,,,拉不起马,喷油泵拉不起马力,,,供应,1,0.0,5,Keep,375,284.0,91.0,13350
12,11.0,S3340012007,车机,430F0100497,430F,YC6108ZQ,1115.0,,1115.0,5307,货,1226,,,,2200,,4092200182,2200,,喷油泵,,043006,,修复,,,游车,,,油量不均,喷油泵油量不均,,,一发,1,0.0,6,Keep,386,345.0,41.0,5307
12,11.0,S0710012004,车机,430G0100228,430G,YC6108ZQ,1121.0,,1121.0,6030,货,1218,,,,2200,,311220018200,2200,,喷油泵,,043006,,修复,,,工作不良,,,油量不均,喷油泵油量不均,,,供应,1,0.0,7,Keep,378,351.0,27.0,6030
101,6.0,S1990101002,车机,430D0100249,430D,YC6108ZQ,626.0,,626.0,24000,货,10102,,,,2200,,30922001A400,2200,,喷油泵,,011001,,更换总成,,,游车,,,拉不起马,喷油泵拉不起马力,,,供应,1,0.0,8,Keep,397,206.0,191.0,24000
101,12.0,S4370101005,车机,430D0100507,430D,YC6108ZQ,1109.0,,1222.0,4200,货,10117,,,,2200,,373220010000,2200,,喷油泵,,043006,,更换总成,,,起动困难,,,故障不清,起动困难，现场找不出原因，更,,,供应,1,0.0,10,Keep,412,382.0,30.0,4200
101,7.0,S0210102001,车机,430C0100075,430C,YC6108ZQ,717.0,,717.0,38107,货,10129,,,,2200,,321220018200,2200,,喷油泵,,043006,,修复,,,耗机油,,,油量不均,喷油泵油量不均,,,不考,1,0.0,11,Keep,424,227.0,197.0,38107
101,10.0,S1580102001,车机,430F0100318,430F,YC6108ZQ,1018.0,,1018.0,23100,货,10120,,,,2200,,47322001B3,2200,,喷油泵,,043006,,修复,,,起动困难,,,油量过低,喷油泵油量过低,,,不考,1,0.0,12,Keep,415,318.0,97.0,23100
101,11.0,S0020101026,车机,430F0100553,430F,YC6108ZQ,1016.0,,1103.0,15500,货,10104,,,,2200,,31122001B300,2200,,喷油泵,,043006,,修复,,,工作不良,,,油量过低,喷油泵油量过低,,,不考,1,0.0,13,Keep,399,333.0,66.0,15500
101,8.0,S0020101036,车机,430F0100229,430F,YC6108ZQ,809.0,,825.0,45151,货,10109,,,,2200,,31222001A400,2200,,喷油泵,,043006,,修复,,,机无力,,,拉不起马,喷油泵拉不起马力,,,供应,1,0.0,14,Keep,404,265.0,139.0,45151
101,11.0,S4380101002,车机,430D0100371,430D,YC6108ZQ,526.0,,1110.0,2500,货,10109,,,,2200,,4152200182,2200,,喷油泵,,043006,,修复,,,烟大,,,油量不均,喷油泵油量不均,,,一发,1,0.0,15,Keep,404,340.0,64.0,2500
101,3.0,S0020101060,车机,4300100116,430,YC6108ZQ,329.0,,329.0,1500,货,10115,,,,2200,,312220018200,2200,,喷油泵,,043006,,修复,,,机无力,,,油量不均,喷油泵油量不均,,,不考,1,0.0,16,Keep,410,119.0,291.0,1500
101,9.0,S2830101007,车机,4840100036,484,YC6108ZQ,920.0,,920.0,18274,,10107,,,,2200,,315220010600,2200,,喷油泵,,011001,,修复,,,烟大,,,调整不当,油泵供油提前角不对,,,,1,0.0,17,Keep,402,290.0,112.0,18274
101,9.0,S0020101039,车机,430C0100338,430C,YC6108ZQ,908.0,,908.0,21000,货,10102,,,,2200,,31222001B300,2200,,喷油泵,,043006,,修复,,,机无力,,,油量过低,喷油泵油量过低,,,不考,1,0.0,18,Keep,397,278.0,119.0,21000
101,11.0,S1490101015,车机,430F0100835,430F,YC6108ZQ,1106.0,,1106.0,20162,货,10128,,,,2200,,325220018200,2200,,喷油泵,,043006,,修复,,,错装,,,油量不均,喷油泵油量不均,,,不考,1,0.0,19,Keep,423,336.0,87.0,20162
101,101.0,S1970101022,车机,497C0100026,497C,YC6108ZQ,10108.0,,10108.0,1500,客,10117,,,,2200,,311220018200,2200,,喷油泵,,043006,,修复,,,工作不良,,,油量不均,喷油泵油量不均,,,供应,1,0.0,20,Keep,412,403.0,9.0,1500
101,10.0,S2830101014,车机,4840100033,484,YC6108ZQ,1010.0,,1010.0,20335,,10111,,,,2200,,373220015800,2200,,喷油泵,,011001,,更换总成,,,起动困难,,,失灵,喷油泵不喷油,,,供应,1,0.0,21,Keep,406,310.0,96.0,20335
