反馈时间,启用月,单号,用途,台机编号,机型号,产品型号,出厂日,出厂日乱,启用日,里程,汽车类别,维修时间,录入日期,部件结构码,故障部件,父结构码,父件说明,故障代码,故障件号,物料号,故障件,BOM物料号,厂家号,厂家名称,处理方式,故障类别代,故障现象代,现象,故障原因代,故障模式代,模式,初步分析,故障原因,故障摘要,责任单位,数量,责任值,excel_row,reason,f_days,s_days,fail_time,mileage_val
101,,S3300101062,车机,430D0100811,430D,YC6108ZQ,,,,0,货,10121,,,,2200,,31922001B400,2200,,喷油泵,,043006,,更换总成,,,振动,,,油量过高,喷油泵油量过高,,,供应,1,0.0,9,日期缺失或格式错误,416,,,0
102,101.0,S1940102001,车机,B3202000008,B3202,YC6108ZQ,1225.0,,10120.0,0,客,10227,,,,2200,,31122001B700,2200,,喷油泵,,011001,,更换总成,,,工作不良,,,烟大,喷油泵烟大,,,供应,1,0.0,32,0里程或0天失效,452,415.0,37.0,0
102,102.0,S3360102005,车机,4300101178,430,YC6108ZQ,10207.0,,10207.0,0,货,10213,,,,2200,,37322001A400,2200,,喷油泵,,043006,,更换总成,,,起动困难,,,拉不起马,喷油泵拉不起马力,,,一发,1,0.0,42,0里程或0天失效,438,432.0,6.0,0
103,,S3300103219,车机,430D100793,430D,YC6108ZQ,,,,0,货,10330,,,,2200,,311220018200,2200,,喷油泵,,043006,,更换总成,,,工作不良,,,油量不均,喷油泵油量不均,,,供应,1,0.0,48,日期缺失或格式错误,485,,,0
103,,S1390103010,车机,430F0100047,430F,YC6108ZQ,,,,48000,货,10302,,,,2200,,316220010600,2200,,喷油泵,,043006,,修复,,,油耗高,,,调整不当,油泵二缸供油角度差三度,,,供应,1,0.0,57,日期缺失或格式错误,457,,,48000
103,,S1940103009,车机,B3203100002,B3203,YC6108ZQ,,,,0,客,10317,,,,2200,,31122001A100,2200,,喷油泵,,032017,,更换总成,,,工作不良,,,飞车,喷油泵飞车,,,供应,1,0.0,58,日期缺失或格式错误,472,,,0
103,,S1940103010,车机,B3203100004,B3203,YC6108ZQ,,,,0,客,10317,,,,2200,,31122001A100,2200,,喷油泵,,032017,,更换总成,,,工作不良,,,飞车,喷油泵飞车,,,供应,1,0.0,61,日期缺失或格式错误,472,,,0
103,103.0,S1940103004,车机,B3203100001,B3203,YC6108ZQ,10308.0,,10308.0,0,客,10317,,,,2200,,31122001A100,2200,,喷油泵,,032017,,更换总成,,,工作不良,,,飞车,喷油泵飞车,,,供应,1,0.0,62,0里程或0天失效,472,463.0,9.0,0
103,12.0,S2030103009,车机,B3002000005,B3002,YC6108ZQ,1215.0,,1227.0,0,客,10319,,,,2200,,31122001A500,2200,,喷油泵,,011001,,更换总成,,,工作不良,,,游车,喷油泵游车,,,供应,1,0.0,70,0里程或0天失效,474,387.0,87.0,0
103,12.0,S2030103003,车机,B3002000005,B3002,YC6108ZQ,1215.0,,1227.0,0,客,10312,,,,2200,,31122001A500,2200,,喷油泵,,011001,,修复,,,工作不良,,,游车,喷油泵游车,,,供应,1,0.0,73,0里程或0天失效,467,387.0,80.0,0
104,4.0,S0310104004,车机,B3101100651,B3101,YC6108ZQ,10426.0,,10426.0,2479,货,10426,,,,2200,,201220015700,2200,,喷油泵,,043006,,更换总成,,,漏油,,,弹力不足,喷油泵柱塞座处凹陷一块,,,供应,1,0.0,90,0里程或0天失效,511,511.0,0.0,2479
104,,S2070104004,车机,B3101100471,B3101,YC6108ZQ,,,,427,货,10416,,,,2200,,31122001A400,2200,,喷油泵,,043006,,更换总成,,,工作不良,,,拉不起马,喷油泵调整弹簧变形拉不起马力,,,供应,1,0.0,94,日期缺失或格式错误,501,,,427
105,,S1970105035,车机,B3204100066,B3204,YC6108ZQ,,,,5,客,10529,,,,2200,,312220010600,2200,,喷油泵,,011001,,修复,,,机无力,,,调整不当,喷油泵调整不当,,,一发,1,0.0,134,日期缺失或格式错误,544,,,5
106,7.0,S1970106003,车机,B3204100015,B3204,YC6108ZQ,20730.0,,20730.0,20,客,10603,,,,2200,,312220018200,2200,,喷油泵,,011001,,修复,,,机无力,,,油量不均,喷油泵油量不均,,,一发,1,0.0,188,逻辑错误(维修早于启用),548,970.0,-422.0,20
107,7.0,S1650107018,车机,B3403100176,B3403,YC6108ZQ,10723.0,,10723.0,17,货,10723,,,,2200,,41522001B4,2200,,喷油泵,,043006,,修复,,,烟大,,,油量过高,喷油泵油量过高,,,供应,1,0.0,221,0里程或0天失效,598,598.0,0.0,17
109,,S4860109127,车机,B3222100074,B3222,YC6108ZQ,,,,0,货,10919,,,,2200,,473220010600,2200,,喷油泵,,032017,,修复,,,起动困难,,,调整不当,油泵起动油量调整偏小，现场校,,,一发,1,0.0,338,日期缺失或格式错误,654,,,0
109,8.0,S4860109111,车机,B3222100073,B3222,YC6108ZQ,10809.0,,10809.0,0,货,10916,,,,2200,,473220010600,2200,,喷油泵,,032017,,修复,,,起动困难,,,调整不当,油泵起动油量调整过小现场调好,,,一发,1,0.0,340,0里程或0天失效,651,614.0,37.0,0
109,8.0,S4860109110,车机,B3222100076,B3222,YC6108ZQ,10809.0,,10809.0,0,货,10916,,,,2200,,4092200106,2200,,喷油泵,,032017,,修复,,,游车,,,调整不当,油泵调速不当游车,,,供应,1,0.0,344,0里程或0天失效,651,614.0,37.0,0
110,10.0,S0210110016,车机,B3204100412,B3204,YC6108ZQ,10813.0,,11017.0,326,客,11017,,,,2200,,373220010000,2200,,喷油泵,,043006,,更换总成,,,起动困难,,,故障不清,油泵不来油起动困难,,,供应,1,0.0,373,0里程或0天失效,682,682.0,0.0,326
111,,S3300111250,车机,B3403101438,B3403,YC6108ZQ,,,,0,货,11129,,,,2200,,30822001B400,2200,,喷油泵,,011001,,更换总成,,,异响,,,油量过高,油泵第六缸供油量过大,,,供应,1,0.0,383,日期缺失或格式错误,724,,,0
111,,S3300111027,车机,B3403101251,B3403,YC6108ZQ,,,,0,货,11107,,,,2200,,30822001B400,2200,,喷油泵,,043006,,修复,,,异响,,,油量过高,高压油泵第一缸供油量过大,,,供应,1,0.0,390,日期缺失或格式错误,702,,,0
