Distribution,Method,Parameters
Exponential,MLE,21459.5679
Exponential,LSM,20481.8689
Exponential,MOM,21459.5679
Normal,MLE,"21459.5679, 24777.6169"
Normal,LSM,"16472.0785, 15998.4784"
Normal,MOM,"21459.5679, 24777.6169"
TruncNormal,MLE,"-186437.7188, 69327.8129"
TruncNormal,LSM,"-185953.5772, 66373.3304"
TruncNormal,MOM,"-186437.7188, 69327.8129"
LogNormal,MLE,"1.4199, 11105.0168"
LogNormal,LSM,"1.2246, 13039.5880"
LogNormal,MOM,"1.0166, 11105.0080"
Weibull_2P,MLE,"0.9243, 20677.2219"
Weibull_2P,LSM,"0.9432, 20677.2219"
Weibull_2P,MOM,"0.8881, 20677.2219"
Weibull_3P,MLE,"0.8890, 1.0000, 16227.8746"
Weibull_3P,LSM,"0.9374, 61.8179, 20615.2379"
Weibull_3P,MOM,"0.8890, 1.0000, 16227.8746"
Gamma_2P,MLE,"0.8888, 24144.2376"
Gamma_2P,LSM,"0.8866, 24144.2376"
Gamma_2P,MOM,"0.9572, 24144.2376"
Gamma_3P,MLE,"0.8855, 1.0000, 24144.2372"
Gamma_3P,LSM,"0.8865, 1.0000, 24144.2372"
Gamma_3P,MOM,"0.8926, 1.0000, 24144.2372"
